Emotion,Sentence,text_length,word_count,emotion_vn
Other,cho mình xin bài nhạc tên là gì với ạ,37,10,khác
Disgust,cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡,58,16,khó chịu
Disgust,lo học đi . yêu đương lol gì hay lại thích học sinh học,55,14,khó chịu
Enjoyment,uớc gì sau này về già vẫn có thể như cụ này :)),47,13,vui vẻ
Enjoyment,mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .,67,18,vui vẻ
Anger,thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết,85,22,giận dữ
Other,một lí do trog muôn vàn lí do,29,8,khác
Surprise,thật hay đùa ác vậy . không thể tin được,40,10,ngạc nhiên
Anger,"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠",196,47,giận dữ
Sadness,per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa,69,17,buồn
Enjoyment,công nhận sáng tạo thật đấy,27,6,vui vẻ
Disgust,đòn tấn công cực gắt và cục sút của anh 😂😂😂,43,11,khó chịu
Other,trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3,79,18,khác
Enjoyment,minh biết nữa ne,16,4,vui vẻ
Disgust,mấy thằng củ lol việt nam nhảm nhí :)),38,9,khó chịu
Sadness,"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người",104,34,buồn
Other,"bếp dầu , nhiều nhà vẫn dùng",28,7,khác
Other,nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,84,20,khác
Fear,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",84,21,sợ hãi
Enjoyment,sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁,64,17,vui vẻ
Anger,"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à",66,18,giận dữ
Disgust,coi video chưa hiểu gì đã làm ầm lên,36,9,khó chịu
Enjoyment,chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊,59,15,vui vẻ
Enjoyment,yêu chết đi được .,18,5,vui vẻ
Sadness,mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại,125,29,buồn
Sadness,xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt,71,17,buồn
Anger,cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,192,48,giận dữ
Fear,từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭,51,13,sợ hãi
Fear,t gặp quả này thì bỏ xe mà chạy ??,34,10,sợ hãi
Other,thế con trai là của ai cho,26,7,khác
Surprise,per đây mí chính là cụ tổ của những chiếc sừng này,50,12,ngạc nhiên
Fear,muốn share về mà sợ bị bạn nè phẫn nộ quá,41,11,sợ hãi
Sadness,"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂",99,28,buồn
Sadness,nay buồn :(((,13,3,buồn
Fear,"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực",57,14,sợ hãi
Enjoyment,ai có link nhạc mấy bài trên không ạ hay vãi ra,47,12,vui vẻ
Other,đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm,64,16,khác
Other,phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,90,21,khác
Sadness,làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải,57,14,buồn
Enjoyment,khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊,81,19,vui vẻ
Anger,đéo được tích sự gì 😂,21,6,giận dữ
